date,symbol,open,high,low,close,volume,RSI,EMA_50,EMA_200,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBL_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,avg_sentiment,AI_Score,Stability_Score,Sentiment_Rescaled,Safety_Index,Recommendation
2025-04-04 10:00:00,NSENG:WEMABANK,11.0,11.2,10.9,11.0,5947621.0,51.02040816326532,10.938493528538373,10.979571173328619,-0.002556037966581215,-0.02398607700508984,0.021430039038508625,10.8875,11.302831193145902,10.472168806854096,7.629505270188804,0.6354340847214914,0.2797,80.69043538186212,97.95918367346935,63.985,72.52997279297186,BUY 🟢
2025-04-07 10:00:00,NSENG:WEMABANK,10.85,11.0,10.85,11.0,2985825.0,51.02040816326532,10.940905547027064,10.979774445235797,0.004576928189841567,-0.01827347596610356,0.022850404155945126,10.8875,11.302831193145902,10.472168806854096,7.629505270188804,0.6354340847214914,0.2797,76.31323518322009,97.95918367346935,63.985,70.34137269365084,BUY 🟢
2025-04-08 10:00:00,NSENG:WEMABANK,10.45,10.8,10.45,10.8,5968117.0,51.02040816326532,10.935379839300513,10.97798564478569,-0.005841140242473841,-0.015787008821377617,0.009945868578903776,10.8725,11.277046529755037,10.467953470244964,7.441646902828901,0.4103934965850523,0.2797,80.7592665915705,97.95918367346935,63.985,72.56438839782605,BUY 🟢
2025-04-09 10:00:00,NSENG:WEMABANK,10.9,10.9,10.6,10.8,11553774.0,62.50000000000001,10.93007082599461,10.976214643345036,-0.013936878869017733,-0.01541698283090564,0.0014801039618879078,10.8625,11.263649663631393,10.461350336368609,7.385954681360493,0.4220989001533478,0.2797,47.75965476878589,74.99999999999999,63.985,49.176827384392936,HOLD 🟡
2025-04-10 10:00:00,NSENG:WEMABANK,10.75,10.95,10.75,10.95,3685045.0,60.52631578947366,10.930852362230116,10.975953801122698,-0.008155057236036711,-0.013964597711931856,0.005809540475895145,10.8625,11.263649663631393,10.461350336368609,7.385954681360493,0.6090615397853113,0.2797,70.14445852341296,78.94736842105269,63.985,61.55343978802229,HOLD 🟡
2025-04-11 10:00:00,NSENG:WEMABANK,11.0,11.0,10.7,11.0,7011168.0,55.88235294117645,10.933564034299524,10.97619306678317,0.00045639911158268376,-0.011080398347228949,0.011536797458811632,10.865,11.26905835951597,10.46094164048403,7.437797690123698,0.6670550761054902,0.2797,74.72857679883525,88.2352941176471,63.985,66.63187663471176,BUY 🟢
2025-04-14 10:00:00,NSENG:WEMABANK,11.0,11.5,11.0,11.5,3749196.0,67.44186046511629,10.955777209425033,10.98140507606891,0.04708410537696395,0.0005525023976096303,0.04653160297935432,10.892500000000002,11.385903859349574,10.39909614065043,9.059515434465396,1.1156214513611966,0.2797,58.26103675559461,65.11627906976742,63.985,51.46240209872752,HOLD 🟡
2025-04-15 10:00:00,NSENG:WEMABANK,11.9,12.0,11.5,11.95,6404639.0,72.00000000000001,10.994766338467189,10.991042836506036,0.11897664897090188,0.024237331712268082,0.0947393172586338,10.942499999999999,11.62635517087819,10.258644829121808,12.499066408557297,1.2366325816518957,0.2797,62.236827247556825,55.99999999999997,63.985,50.7154136237784,HOLD 🟡
2025-04-16 10:00:00,NSENG:WEMABANK,11.95,11.95,11.95,11.95,1356127.0,67.44186046511629,11.03222648205671,11.00058469882936,0.17394685664169707,0.05417923669815389,0.11976761994354318,11.0025,11.813915267814268,10.19108473218573,14.749652675560442,1.0838564034864084,0.2797,62.64440871624429,65.11627906976742,63.985,68.65408807905237,BUY 🟢
2025-04-17 10:00:00,NSENG:WEMABANK,11.5,11.95,11.5,11.95,9938052.0,69.04761904761902,11.068217600407428,11.01003161724897,0.21503238280380899,0.08634986591928491,0.1286825168845241,11.085,11.930483355994165,10.239516644005837,15.254548597098125,1.011541707987194,0.2797,50.481153059219565,61.904761904761955,63.985,61.60900510103836,HOLD 🟡
2025-04-22 10:00:00,NSENG:WEMABANK,11.5,12.0,11.5,12.0,8480733.0,78.94736842105262,11.10475808666596,11.019882048918134,0.24875999010684602,0.11883189075679713,0.1299280993500489,11.1575,12.05678334039711,10.25821665960289,16.119799962305358,0.9684285598062808,0.2797,43.932211026742266,42.10526315789477,63.985,37.39468446073957,SELL 🔴
2025-04-23 10:00:00,NSENG:WEMABANK,12.0,12.0,12.0,12.0,789343.0,88.2352941176471,11.13986561267906,11.029634466341834,0.2723498819812278,0.14953548900168329,0.1228143929795445,11.2175,12.174620132150826,10.260379867849172,17.064767232464042,0.9087783621485307,0.2797,41.72467898299843,23.5294117647058,63.985,30.71816302091095,SELL 🔴
2025-04-24 10:00:00,NSENG:WEMABANK,11.9,12.0,11.9,12.0,3406848.0,86.6666666666667,11.173596372966156,11.039289844786195,0.28772828864085653,0.17717404892951794,0.1105542397113386,11.28,12.271224654550858,10.28877534544914,17.57490522253296,0.8631870921966954,0.2797,42.03685768015809,26.6666666666666,63.985,31.815428840079022,SELL 🔴
2025-04-25 10:00:00,NSENG:WEMABANK,11.8,12.35,11.8,12.35,3787746.0,88.5714285714286,11.21972984853611,11.052331736877875,0.32441817091103964,0.20662287332582227,0.11779529758521737,11.355,12.432472676415067,10.277527323584934,18.977942341084393,0.9617286460156615,0.2797,46.34262683398461,22.857142857142804,63.985,32.82545627413515,SELL 🔴
2025-04-28 10:00:00,NSENG:WEMABANK,12.4,13.0,12.05,13.0,8379219.0,91.66666666666669,11.289544364279791,11.071711520590533,0.4013185838473827,0.24556201543013437,0.15575656841724836,11.445,12.745566678110169,10.144433321889831,22.727246450155857,1.0978163312086173,0.2797,48.39298012823722,16.66666666666663,63.985,31.993490064118603,SELL 🔴
2025-04-29 10:00:00,NSENG:WEMABANK,13.0,14.0,13.0,13.75,10441572.0,93.65079365079367,11.386032820582544,11.098361157201573,0.5168238237964005,0.2998143771033876,0.21700944669301286,11.575,13.224401805440221,9.925598194559777,28.499383247347254,1.1593299439912694,0.2797,49.43560112100018,12.698412698412653,63.985,31.324324370023888,SELL 🔴
2025-04-30 10:00:00,NSENG:WEMABANK,14.75,15.1,14.75,15.1,26616076.0,100.0,11.531678592324406,11.138178459119967,0.709121959667609,0.3816758936162319,0.32744606605137716,11.785,14.03329760157839,9.53670239842161,38.155241435356636,1.2372244665636667,0.2797,27.611213419197984,0.0,63.985,16.602606709598994,SELL 🔴
2025-05-02 10:00:00,NSENG:WEMABANK,15.0,15.0,13.05,13.3,8500681.0,70.49180327868854,11.601024529880313,11.159689121218276,0.7081119868069585,0.44696311225437724,0.2611488745525813,11.915000000000001,14.199524596404892,9.63047540359511,38.34703476970022,0.8031265240434586,0.2797,28.686834745437267,59.01639344262293,63.985,34.84533540550551,SELL 🔴
2025-05-05 10:00:00,NSENG:WEMABANK,12.85,13.3,12.8,13.3,4965183.0,69.74789915966387,11.667651018904614,11.180985746877797,0.6992510452573679,0.49742069885497536,0.20183034640239256,12.035,14.347005281363478,9.722994718636523,38.42135905880312,0.7735720394319303,0.2797,32.2865831390258,60.50420168067225,63.985,52.09155207371458,HOLD 🟡
2025-05-06 10:00:00,NSENG:WEMABANK,13.0,13.55,12.9,13.55,2348877.0,70.73170731707317,11.741468626006395,11.204558028003392,0.7042830591970635,0.538793170923393,0.1654898882736705,12.1625,14.515074178035173,9.809925821964827,38.68570076933481,0.7948897452319262,0.2797,29.48810148503394,58.536585365853654,63.985,35.10202635227307,SELL 🔴
2025-05-07 10:00:00,NSENG:WEMABANK,13.9,13.9,13.9,13.9,4182808.0,70.0,11.826116915182615,11.231378346132711,0.7281197304125264,0.5766584828212197,0.15146124759130675,12.307500000000001,14.715223318603561,9.89977668139644,39.12611527285899,0.8307066031415152,0.2797,29.209958656848627,60.0,63.985,50.40197932842432,HOLD 🟡
2025-05-08 10:00:00,NSENG:WEMABANK,13.8,13.95,13.8,13.95,5119337.0,67.85714285714286,11.909406447920551,11.258429307862734,0.742486128311679,0.6098240119193116,0.13266211639236747,12.455,14.886785135937876,10.023214864062124,39.049139075678454,0.8073873546445988,0.2797,34.57783703039017,64.28571428571428,63.985,54.37163280090937,HOLD 🟡
2025-05-09 10:00:00,NSENG:WEMABANK,13.95,13.95,13.95,13.95,2342297.0,67.85714285714286,11.989429724472686,11.285211105794449,0.7452804727818219,0.6369153040918136,0.10836516869000823,12.6125,15.000600985257837,10.224399014742165,37.86879659477242,0.7800342213869136,0.2797,34.57783703039017,64.28571428571428,63.985,54.37163280090937,HOLD 🟡
2025-05-12 10:00:00,NSENG:WEMABANK,13.9,13.95,13.8,13.95,4436133.0,67.85714285714286,12.066314833316895,11.311726418174604,0.7389765492438212,0.6573275531222151,0.08164899612160603,12.77,15.068603695152426,10.471396304847573,36.00005787239509,0.756677565273328,0.2797,34.57783703039017,64.28571428571428,63.985,54.37163280090937,HOLD 🟡
2025-05-13 10:00:00,NSENG:WEMABANK,13.85,14.5,13.85,14.5,11152374.0,70.49180327868854,12.161753467304468,11.343450533416648,0.7694908365089912,0.6797602097995704,0.08973062670942078,12.9475,15.20219685207054,10.69280314792946,34.82829661433542,0.8442813162608321,0.2797,29.209958656848627,59.01639344262293,63.985,35.106897361211196,SELL 🔴
2025-05-14 10:00:00,NSENG:WEMABANK,14.45,14.5,14.15,14.45,6533841.0,69.91869918699187,12.251488625449392,11.374361473382653,0.7806403113006883,0.699936230099794,0.08070408120089434,13.12,15.27294168400744,10.967058315992558,32.81923298791831,0.8088797086051038,0.2797,29.209958656848627,60.162601626016254,63.985,50.450759816229194,HOLD 🟡
2025-05-15 10:00:00,NSENG:WEMABANK,14.5,14.55,14.0,14.05,2896181.0,65.64885496183207,12.322018483274906,11.40098474230422,0.7485706370058569,0.7096631114810066,0.03890752552485033,13.247499999999999,15.295984677434557,11.19901532256544,30.926358594973518,0.6958764956458013,0.2797,40.46867246313835,68.70229007633586,63.985,58.64202325446993,HOLD 🟡
2025-05-16 10:00:00,NSENG:WEMABANK,14.0,14.1,13.6,14.0,16014077.0,63.20000000000001,12.387821680009225,11.426845590639502,0.7109255003132589,0.7099155892474571,0.0010099110658017274,13.35,15.32910133779529,11.37089866220471,29.6494582441242,0.6642159468004042,0.2797,43.635352301342216,73.59999999999998,63.985,61.6946761506711,HOLD 🟡
2025-05-19 10:00:00,NSENG:WEMABANK,13.8,13.9,13.15,13.5,13919473.0,54.09836065573771,12.431436516087295,11.447473992722692,0.6334436923596485,0.6946212098698954,-0.061177517510246915,13.4275,15.293955971818459,11.561044028181541,27.800498556223552,0.5194218350431712,0.2797,70.18634953465592,91.80327868852459,63.985,80.43115837388534,STRONG BUY 🟢
