date,symbol,open,high,low,close,volume,RSI,EMA_50,EMA_200,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBL_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,avg_sentiment,Name,Market_Cap,AI_Score,Stability_Score,Sentiment_Rescaled,Safety_Index,Recommendation
2025-05-23 10:00:00,NSENG:SEPLAT,5588.9,5588.9,5588.9,5588.9,8076.0,0.0,5663.368584397292,5689.427353369711,-30.557855876551002,-25.23114243959192,-5.326713436959082,5644.45,5758.43619491666,5530.46380508334,4.038876946971265,0.2563301413797733,0.4931,Seplat Energy Plc,6.76T,1.0011576516028329,0.0,74.655,15.431578825801417,SELL 🔴
2025-05-26 10:00:00,NSENG:SEPLAT,5516.0,5516.0,5516.0,5516.0,5915.0,0.0,5657.589424224849,5687.70170806255,-35.77716666116612,-27.340347283906762,-8.436819377259358,5635.25,5759.589814515238,5510.910185484762,4.41292984393728,0.020467356072073048,0.4931,Seplat Energy Plc,6.76T,0.9109395277841708,0.0,74.655,15.386469763892087,SELL 🔴
2025-05-27 10:00:00,NSENG:SEPLAT,5516.0,5516.0,5516.0,5516.0,4073.0,0.0,5652.036897784658,5685.993233355461,-39.45865326835883,-29.764008480797177,-9.694644787561653,5626.05,5757.25658680513,5494.843413194871,4.66425242595176,0.08062318866868892,0.4931,Seplat Energy Plc,6.76T,0.9109395277841708,0.0,74.655,15.386469763892087,SELL 🔴
2025-05-28 10:00:00,NSENG:SEPLAT,5516.0,5516.0,5516.0,5516.0,15597.0,0.0,5646.702117479378,5684.3017583967,-41.8933376099676,-32.18987430663126,-9.703463303336342,5616.85,5751.969167676846,5481.730832323155,4.811207978737042,0.12681090427823083,0.4931,Seplat Energy Plc,6.76T,0.9109395277841708,0.0,74.655,15.386469763892087,SELL 🔴
2025-05-29 10:00:00,NSENG:SEPLAT,4964.4,4964.4,4964.4,4964.4,112245.0,0.0,5619.945171695873,5677.138556820614,-87.32571608148464,-43.21704266160194,-44.108673419882706,5580.07,5897.441892762715,5262.698107237285,11.375193958596043,-0.4699504178530221,0.4931,Seplat Energy Plc,6.76T,1.2650729901861717,0.0,74.655,15.56353649509309,SELL 🔴
2025-05-30 10:00:00,NSENG:SEPLAT,4964.4,4964.4,4964.4,4964.4,130002.0,0.0,5594.237517903878,5670.0466308821005,-121.925719543995,-58.95877803808055,-62.96694150591445,5543.289999999999,5957.77873719699,5128.801262803008,14.954611329986015,-0.19831813032458223,0.4931,Seplat Energy Plc,6.76T,1.2650729901861717,0.0,74.655,15.56353649509309,SELL 🔴
2025-06-02 10:00:00,NSENG:SEPLAT,4964.4,4964.4,4964.4,4964.4,15408.0,0.0,5569.538007397844,5663.025271370836,-147.64451747566,-76.69592592559644,-70.94859155006355,5506.51,5987.639062015368,5025.3809379846325,17.474918306345312,-0.0633727442374756,0.4931,Seplat Energy Plc,6.76T,1.2650729901861717,0.0,74.655,15.56353649509309,SELL 🔴
2025-06-03 10:00:00,NSENG:SEPLAT,4964.4,4964.4,4964.4,4964.4,87360.0,0.0,5545.807105146949,5656.073776133316,-166.11201423151488,-94.57914358678013,-71.53287064473474,5469.73,5998.670168141616,4940.789831858383,19.34063173654336,0.022318373195751855,0.4931,Seplat Energy Plc,6.76T,1.2650729901861717,0.0,74.655,15.56353649509309,SELL 🔴
2025-06-04 10:00:00,NSENG:SEPLAT,4964.4,4964.4,4964.4,4964.4,41961.0,0.0,5523.006826513735,5649.191450002636,-178.68783631394854,-111.40088213221382,-67.28695418173471,5432.95,5995.691943289141,4870.208056710859,20.715888910781107,0.08369017487714113,0.4931,Seplat Energy Plc,6.76T,1.2650729901861717,0.0,74.655,15.56353649509309,SELL 🔴
2025-06-05 10:00:00,NSENG:SEPLAT,4964.4,4964.4,4964.4,4964.4,48377.0,0.0,5501.100676454374,5642.377604728978,-186.50435975387336,-126.42157765654574,-60.08278209732762,5396.17,5981.1379940862225,4811.202005913778,21.680858612172056,0.13094562064505116,0.4931,Seplat Energy Plc,6.76T,1.2650729901861717,0.0,74.655,15.56353649509309,SELL 🔴
2025-06-11 10:00:00,NSENG:SEPLAT,4964.4,4964.4,4964.4,4964.4,337381.0,0.0,5480.053591103222,5635.63155891078,-190.5030107708635,-139.2378642794093,-51.2651464914542,5359.389999999999,5956.30279059754,4762.477209402459,22.275400394356083,0.16913927275323198,0.4931,Seplat Energy Plc,6.76T,1.2650729901861717,0.0,74.655,15.56353649509309,SELL 🔴
2025-06-13 10:00:00,NSENG:SEPLAT,4964.4,4964.4,4964.4,4964.4,43223.0,0.0,5459.831881648194,5628.9526379265935,-191.46488252752715,-149.6832679290329,-41.78161459849426,5328.165,5939.6843202611235,4716.645679738876,22.954218582236983,0.20257276593921036,0.4931,Seplat Energy Plc,6.76T,1.2650729901861717,0.0,74.655,15.56353649509309,SELL 🔴
2025-06-16 10:00:00,NSENG:SEPLAT,4964.4,4964.4,4964.4,4964.4,185289.0,0.0,5440.403180407088,5622.340173867623,-190.03654977246333,-157.75392429771898,-32.28262547474435,5296.94,5916.130073359839,4677.74992664016,23.379161302934886,0.23147179330930112,0.4931,Seplat Energy Plc,6.76T,1.2650729901861717,0.0,74.655,15.56353649509309,SELL 🔴
2025-06-17 10:00:00,NSENG:SEPLAT,4964.4,4964.4,4964.4,4964.4,16868.0,0.0,5421.736389018575,5615.7935054709305,-186.75182696126012,-163.55350483042722,-23.198322130832906,5265.714999999999,5885.897459654537,4645.532540345462,23.555489032525976,0.25707552244557014,0.4931,Seplat Energy Plc,6.76T,1.2650729901861717,0.0,74.655,15.56353649509309,SELL 🔴
2025-06-18 10:00:00,NSENG:SEPLAT,5450.0,5450.0,5450.0,5450.0,372808.0,43.74380686424649,5422.844765919807,5614.143818849329,-143.31277829765259,-159.5053595238723,16.192581226219716,5258.7699999999995,5866.703964904252,4650.836035095747,23.12076644935041,0.6572785952419344,0.4931,Seplat Energy Plc,6.76T,1.1763876769434525,87.48761372849297,74.655,31.765477957019613,SELL 🔴
2025-06-19 10:00:00,NSENG:SEPLAT,5450.0,5450.0,5450.0,5450.0,24626.0,46.81835711531045,5423.909677060207,5612.510547019983,-107.64614155781601,-149.13351593066105,41.48737437284504,5251.825,5846.917392207422,4656.732607792577,22.66230851970211,0.6665077579507396,0.4931,Seplat Energy Plc,6.76T,1.1763876769434525,93.6367142306209,74.655,33.610208107657996,SELL 🔴
2025-06-20 10:00:00,NSENG:SEPLAT,5450.0,5450.0,5450.0,5450.0,53078.0,46.81835711531045,5424.932826979415,5610.8935266516255,-78.47545873819672,-135.0019044921682,56.52644575397147,5244.88,5826.498459129346,4663.261540870654,22.17852302166478,0.6763355312923307,0.4931,Seplat Energy Plc,6.76T,1.1763876769434525,93.6367142306209,74.655,33.610208107657996,SELL 🔴
2025-06-23 10:00:00,NSENG:SEPLAT,5450.0,5450.0,5450.0,5450.0,33484.0,46.81835711531045,5425.915853372379,5609.292596038177,-54.72662793948439,-118.94684918163144,64.22022124214705,5237.9349999999995,5805.402123184005,4670.467876815994,21.66758935282724,0.6868522345489579,0.4931,Seplat Energy Plc,6.76T,1.1763876769434525,93.6367142306209,74.655,33.610208107657996,SELL 🔴
2025-06-24 10:00:00,NSENG:SEPLAT,5450.0,5450.0,5450.0,5450.0,227337.0,100.0,5426.860329710717,5607.707595082574,-35.49632884716539,-102.25674511473824,66.76041626757285,5230.99,5783.576343431831,4678.403656568168,21.127409665544445,0.6981681257627911,0.4931,Seplat Energy Plc,6.76T,1.1866368813423647,0.0,74.655,0.0,SELL 🔴
