date,symbol,open,high,low,close,volume,RSI,EMA_50,EMA_200,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBL_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,avg_sentiment,Name,Market_Cap,AI_Score,Stability_Score,Sentiment_Rescaled,Safety_Index,Recommendation
2025-04-28 10:00:00,NSENG:ACCESSCORP,24.0,24.0,23.7,23.7,60867183.0,57.77777777777779,22.340537238392752,22.431525329220563,0.3254684227431497,0.0027232840700159126,0.32274513867313376,22.0975,24.374727076489023,19.820272923510977,20.610721362045687,0.85185336072648,0.6449,Access Holdings Plc,922.40B,51.574216428165,84.44444444444441,82.245,57.56944154741582,HOLD 🟡
2025-04-29 10:00:00,NSENG:ACCESSCORP,23.9,24.1,23.8,24.05,35569705.0,85.0,22.4075749937499,22.447629554800457,0.4089113992348743,0.08396090710298759,0.3249504921318867,22.175,24.609942990794867,19.740057009205135,21.96115437019045,0.8850192811676306,0.6449,Access Holdings Plc,922.40B,70.06160293200631,30.0,82.245,35.47980146600315,SELL 🔴
2025-04-30 10:00:00,NSENG:ACCESSCORP,22.0,23.0,22.0,22.5,25041580.0,62.29508196721311,22.411199503798926,22.44815065375767,0.3459802680049151,0.1363647792833731,0.209615488721542,22.2,24.637643383097267,19.762356616902732,21.96075119907448,0.5615348418230933,0.6449,Access Holdings Plc,922.40B,84.99431486997129,75.40983606557378,82.245,71.56910825465778,BUY 🟢
2025-05-02 10:00:00,NSENG:ACCESSCORP,22.0,22.3,21.5,21.9,52815880.0,56.71641791044775,22.391152464434263,22.442696418396896,0.24486920771927956,0.1580656649705544,0.08680354274872515,22.1775,24.617619712335095,19.7373802876649,22.00536320446486,0.44313803568792054,0.6449,Access Holdings Plc,922.40B,61.86188797794717,86.5671641791045,82.245,63.35009324270493,HOLD 🟡
2025-05-05 10:00:00,NSENG:ACCESSCORP,21.7,21.85,21.05,21.05,42913281.0,52.05479452054795,22.338558250142725,22.428838742591953,0.09505434045595607,0.14546340006763475,-0.050409059611678686,22.0975,24.576989548486267,19.618010451513733,22.441358058479622,0.2887670063704241,0.6449,Access Holdings Plc,922.40B,65.93997451210853,95.8904109589041,82.245,68.18611054372549,BUY 🟢
2025-05-06 10:00:00,NSENG:ACCESSCORP,21.05,21.65,21.0,21.25,103915333.0,55.55555555555556,22.295869691313598,22.417109003859697,-0.007450804442157732,0.11488055916567626,-0.12233136360783399,22.0325,24.5301357241452,19.534864275854797,22.67228616040124,0.3433518562303948,0.6449,Access Holdings Plc,922.40B,32.000021585040486,88.88888888888889,82.245,49.11567745918691,HOLD 🟡
2025-05-07 10:00:00,NSENG:ACCESSCORP,21.4,21.7,21.4,21.55,21195269.0,55.55555555555556,22.26661989949738,22.408481053572537,-0.06374456976755027,0.07915553337903096,-0.14290010314658125,21.9775,24.46631180697262,19.48868819302738,22.648725350677925,0.4141156436974623,0.6449,Access Holdings Plc,922.40B,60.9482728114617,88.88888888888889,82.245,63.589803072397515,HOLD 🟡
2025-05-08 10:00:00,NSENG:ACCESSCORP,21.85,22.25,21.65,21.8,65761194.0,52.94117647058825,22.248321079909246,22.402426515726045,-0.08717991787413837,0.0458884431283971,-0.13306836100253547,22.04,24.439034893671334,19.640965106328665,21.76982662133698,0.4499798855295687,0.6449,Access Holdings Plc,922.40B,66.92903168585173,94.1176470588235,82.245,68.1488099605729,BUY 🟢
2025-05-09 10:00:00,NSENG:ACCESSCORP,21.8,21.8,21.3,21.3,45165697.0,48.611111111111114,22.21113201795202,22.39145709765912,-0.1444334821414195,0.007824058074433784,-0.15225754021585328,22.055,24.430289456045305,19.679710543954695,21.539691281299525,0.34107200112422875,0.6449,Access Holdings Plc,922.40B,74.81848806642988,97.22222222222223,82.245,73.0249106998816,BUY 🟢
2025-05-12 10:00:00,NSENG:ACCESSCORP,21.5,21.5,21.3,21.3,29432019.0,43.93939393939393,22.175401350581353,22.380596828030672,-0.1876442976540602,-0.031269613071265016,-0.1563746845827952,22.07,24.420901282934967,19.719098717065034,21.304044249523937,0.3362330214396118,0.6449,Access Holdings Plc,922.40B,78.3182542695481,87.87878787878786,82.245,71.97176349841041,BUY 🟢
