date,symbol,open,high,low,close,volume,RSI,EMA_50,EMA_200,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBL_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,avg_sentiment,Name,Market_Cap,AI_Score,Stability_Score,Sentiment_Rescaled,Safety_Index,Recommendation
2025-05-23 10:00:00,NSENG:UCAP,18.4,18.6,18.4,18.6,5894067.0,55.882352941176514,18.232519350703363,18.20722395522946,0.11007583251247866,0.023181001823993415,0.08689483068848525,18.235,19.23925410917231,17.230745890827688,11.01457756152796,0.6817269138688556,0.5691,United Capital Plc,110.40B,78.10183667818512,88.23529411764697,78.45500000000001,86.21250657438665,STRONG BUY 🟢
2025-05-26 10:00:00,NSENG:UCAP,18.55,18.6,18.5,18.5,11517986.0,57.575757575757585,18.243008787930684,18.21013714970479,0.11137376961060141,0.040819555381315015,0.0705542142292864,18.25,19.260992217159902,17.239007782840098,11.079366763396191,0.623640912242779,0.5691,United Capital Plc,110.40B,77.6610790826079,84.84848484848483,78.45500000000001,84.9760849958494,STRONG BUY 🟢
2025-05-27 10:00:00,NSENG:UCAP,18.6,18.75,18.55,18.7,13993398.0,59.420289855072454,18.260930011933404,18.215011406921658,0.12707587110217133,0.05807081852548628,0.06900505257668504,18.275,19.305329533386487,17.24467046661351,11.27583620669208,0.706244694647891,0.5691,United Capital Plc,110.40B,79.51328561280442,81.15942028985509,78.45500000000001,84.79546889335874,STRONG BUY 🟢
2025-05-28 10:00:00,NSENG:UCAP,18.8,18.8,18.75,18.8,3907840.0,69.35483870967742,18.28207001146543,18.22083218894234,0.1459071372724665,0.07563808227488233,0.07026905499758418,18.302500000000002,19.359046011153424,17.24595398884658,11.545373704722547,0.7354369780152226,0.5691,United Capital Plc,110.40B,80.50473775015844,61.29032258064515,78.45500000000001,79.33046564927277,BUY 🟢
2025-05-29 10:00:00,NSENG:UCAP,18.85,19.2,18.8,19.2,9913546.0,86.44067796610173,18.318067265917765,18.230575152236447,0.19090705079879555,0.09869187597966499,0.09221517481913057,18.2875,19.278976835730152,17.29602316426985,10.843218982694742,0.9601721225932667,0.5691,United Capital Plc,110.40B,84.31748341884368,27.118644067796538,78.45500000000001,55.985334929760796,HOLD 🟡
2025-05-30 10:00:00,NSENG:UCAP,19.3,20.0,19.0,20.0,66836845.0,85.71428571428575,18.38402541235236,18.24818136962713,0.2878054781963577,0.13651459642300354,0.15129088177335417,18.375,19.627156035341486,17.122843964658514,13.628909228206645,1.1488807920639192,0.5691,United Capital Plc,110.40B,74.2417527664736,28.5714285714285,78.45500000000001,51.38330495466535,HOLD 🟡
2025-06-02 10:00:00,NSENG:UCAP,19.0,20.0,19.0,19.95,27177947.0,84.21052631578948,18.445436180495406,18.26511488833731,0.3564546110212703,0.1805025993426569,0.1759520116786134,18.4625,19.894787460121414,17.030212539878583,15.51563937843104,1.0192742523466292,0.5691,United Capital Plc,110.40B,84.76341905905106,31.57894736842104,78.45500000000001,57.54639374005184,HOLD 🟡
2025-06-03 10:00:00,NSENG:UCAP,19.1,19.85,19.0,19.25,7883062.0,67.60563380281693,18.47698770282892,18.27491474019465,0.35033692749638945,0.2144694649734034,0.13586746252298604,18.525,19.981202704224064,17.068797295775934,15.721486685280055,0.7489351234882908,0.5691,United Capital Plc,110.40B,63.376855395900186,64.78873239436615,78.45500000000001,71.81604741625995,BUY 🟢
2025-06-04 10:00:00,NSENG:UCAP,19.45,19.5,19.25,19.25,11889894.0,67.60563380281693,18.50730191056112,18.284617081088236,0.34155142698548246,0.23988585737581924,0.10166556960966322,18.585,20.057591700298993,17.11240829970101,15.847099276825308,0.7257923903363638,0.5691,United Capital Plc,110.40B,71.01980462300135,64.78873239436615,78.45500000000001,75.63752202981053,BUY 🟢
2025-06-05 10:00:00,NSENG:UCAP,19.25,19.25,18.95,19.25,7381409.0,66.17647058823533,18.536427325833234,18.29422288127641,0.33077587613522397,0.2580638611277002,0.07271201500752378,18.6675,20.091828096442597,17.243171903557403,15.25997692720072,0.7044823806589409,0.5691,United Capital Plc,110.40B,70.25343800079327,67.64705882352933,78.45500000000001,76.11183664745543,BUY 🟢
