date,symbol,open,high,low,close,volume,RSI,EMA_50,EMA_200,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBL_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,avg_sentiment,Name,Market_Cap,AI_Score,Stability_Score,Sentiment_Rescaled,Safety_Index,Recommendation
2025-04-24 10:00:00,NSENG:FCMB,8.95,9.1,8.95,9.1,3600499.0,39.28571428571428,9.391956266244147,9.469968373899903,-0.09955124304167207,-0.07838493349709888,-0.021166309544573186,9.345,9.86299207472092,8.827007925279082,11.085972706707732,0.26350989527011504,0.4537,FCMB Group Plc,233.67B,75.31438421332406,78.57142857142856,72.685,65.7656206780906,BUY 🟢
2025-04-25 10:00:00,NSENG:FCMB,9.05,9.1,9.0,9.1,2727483.0,50.0,9.38050700090124,9.466287096547665,-0.10174746952952418,-0.08305744070358395,-0.01869002882594023,9.325,9.848651149445685,8.801348850554314,11.231123848701024,0.2851623163262651,0.4537,FCMB Group Plc,233.67B,88.29375668097803,100.0,72.685,78.68387834048903,BUY 🟢
2025-04-28 10:00:00,NSENG:FCMB,9.0,9.15,8.9,9.15,3376647.0,54.54545454545451,9.371467510669818,9.463139961258634,-0.09832004048690735,-0.08610996066024863,-0.012210079826658712,9.285,9.72281755392665,8.84718244607335,9.430641980110916,0.3458261908536709,0.4537,FCMB Group Plc,233.67B,81.7535079062494,90.90909090909098,72.685,72.68648122585199,BUY 🟢
2025-04-29 10:00:00,NSENG:FCMB,9.2,9.25,8.95,8.95,8215175.0,33.33333333333333,9.354939372996492,9.458034090997353,-0.11046869248500535,-0.09098170702519998,-0.019486985459805373,9.245000000000001,9.648797760740383,8.84120223925962,8.735484277780026,0.13471813283572245,0.4537,FCMB Group Plc,233.67B,75.08170611526755,66.66666666666666,72.685,62.077853057633774,HOLD 🟡
2025-04-30 10:00:00,NSENG:FCMB,9.0,9.25,8.8,9.25,9559535.0,50.0,9.350824103467218,9.455964100042156,-0.09479634071730558,-0.0917446337636211,-0.00305170695368448,9.22,9.546706048467524,8.893293951532478,7.0868990990785905,0.5459128322550502,0.4537,FCMB Group Plc,233.67B,89.3398624328926,100.0,72.685,79.2069312164463,BUY 🟢
2025-05-02 10:00:00,NSENG:FCMB,9.0,9.55,9.0,9.55,34523569.0,59.374999999999986,9.358634922939093,9.456899780638752,-0.05750550852645908,-0.08489680871618871,0.027391300189729628,9.2125,9.496966259214656,8.928033740785345,6.1756582733168015,1.0932162234842173,0.4537,FCMB Group Plc,233.67B,80.14724662632482,81.25000000000003,72.685,68.98562331316242,BUY 🟢
2025-05-05 10:00:00,NSENG:FCMB,9.3,9.8,9.2,9.8,15007126.0,61.76470588235292,9.375943357333638,9.46031371316971,-0.007690691185752385,-0.06945558521010145,0.061764894024349065,9.232499999999998,9.612631556174962,8.852368443825034,8.23463972217632,1.2464521042536094,0.4537,FCMB Group Plc,233.67B,45.83616796077404,76.47058823529416,72.685,50.39626045097527,HOLD 🟡
2025-05-06 10:00:00,NSENG:FCMB,9.5,9.6,9.5,9.6,2038932.0,56.756756756756744,9.384729892340163,9.461703626471504,0.015471239108942214,-0.05247022034629272,0.06794145945523494,9.2575,9.665673079903483,8.849326920096518,8.818213986572673,0.9195524115419218,0.4537,FCMB Group Plc,233.67B,66.28550222008225,86.48648648648651,72.685,63.62569705598709,HOLD 🟡
2025-05-07 10:00:00,NSENG:FCMB,9.2,9.6,9.2,9.6,12228408.0,59.99999999999996,9.393171857346431,9.463079709790195,0.033441740176193946,-0.03528782824179539,0.06872956841798933,9.285,9.708146111383464,8.861853888616537,9.114617369595333,0.8722118572354554,0.4537,FCMB Group Plc,233.67B,74.255612168854,80.00000000000009,72.685,65.66480608442703,BUY 🟢
2025-05-08 10:00:00,NSENG:FCMB,9.6,9.6,9.35,9.6,8236039.0,61.76470588235292,9.401282764901474,9.464442100737557,0.047140090127159695,-0.018802244568004375,0.06594233469516407,9.3,9.746035165005017,8.853964834994985,9.592154086129376,0.836296354567274,0.4537,FCMB Group Plc,233.67B,41.64716068703064,76.47058823529416,72.685,48.30175681410356,HOLD 🟡
2025-05-09 10:00:00,NSENG:FCMB,9.55,9.6,9.3,9.6,4649820.0,65.62499999999994,9.409075597650435,9.46579093555609,0.05733520658301927,-0.003574754337799646,0.06090996092081892,9.317499999999999,9.782342927630848,8.85265707236915,9.97784658182666,0.8038660837971761,0.4537,FCMB Group Plc,233.67B,66.23220801697924,68.75000000000011,72.685,58.27810400848966,HOLD 🟡
