date,symbol,open,high,low,close,volume,RSI,EMA_50,EMA_200,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBL_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,avg_sentiment,Name,Market_Cap,AI_Score,Stability_Score,Sentiment_Rescaled,Safety_Index,Recommendation
2025-05-06 10:00:00,NSENG:INTBREW,8.6,9.0,8.6,8.7,7270053.0,80.97731239092494,5.953184601887381,5.272868809892294,0.8896672418594527,0.6391656516103384,0.2505015902491142,6.4305,9.254833922407753,3.6061660775922477,87.84181393072865,0.9017761465799419,0.3594,International Breweries Plc,389.50B,28.01685553498188,38.04537521815013,67.97,29.01604033293598,SELL 🔴
2025-05-07 10:00:00,NSENG:INTBREW,8.9,9.26,8.9,9.26,9069505.0,82.33387358184764,6.082863637107484,5.312541757057544,0.9672859011101052,0.7047897015102919,0.2624961995998133,6.6435,9.650245224009721,3.6367547759902794,90.51690295807092,0.9351050396798669,0.3594,International Breweries Plc,389.50B,27.461329633727217,35.33225283630472,67.97,27.924340667755025,SELL 🔴
2025-05-08 10:00:00,NSENG:INTBREW,9.1,9.1,9.09,9.09,1955658.0,79.37806873977087,6.200790553299347,5.350128406241051,1.0035137862653443,0.7645345184613024,0.23897926780404188,6.847499999999999,9.940009626415685,3.7549903735843126,90.32521727391564,0.8625696070345182,0.3594,International Breweries Plc,389.50B,35.064784063773224,41.243862520458265,67.97,33.499550788024095,SELL 🔴
2025-05-09 10:00:00,NSENG:INTBREW,9.05,9.05,9.05,9.05,1444907.0,78.86178861788619,6.31252425709153,5.386943048965021,1.0172705192357991,0.8150817186162018,0.20218880061959732,7.0485,10.166085266634553,3.9309147333654453,88.46095670382505,0.8210016453151623,0.3594,International Breweries Plc,389.50B,36.6573433670401,42.27642276422762,67.97,34.60559851278833,SELL 🔴
2025-05-12 10:00:00,NSENG:INTBREW,9.05,9.05,9.05,9.05,1949561.0,78.86178861788619,6.419876247009509,5.423391376836016,1.0164557599478545,0.8553565268825324,0.16109923306532214,7.2509999999999994,10.334278501172003,4.167721498827996,85.04422841461877,0.7917349177695386,0.3594,International Breweries Plc,389.50B,33.66838743109283,42.27642276422762,67.97,33.1111205448147,SELL 🔴
2025-05-13 10:00:00,NSENG:INTBREW,9.1,9.15,9.05,9.15,3419037.0,77.19298245614036,6.5269399235973715,5.4604720596535685,1.0122110823296895,0.8867274379719638,0.12548364435772563,7.450999999999999,10.478883749419717,4.42311625058028,81.27456044610707,0.7805589878286456,0.3594,International Breweries Plc,389.50B,35.383793884417194,45.61403508771929,67.97,34.97010746852438,SELL 🔴
2025-05-14 10:00:00,NSENG:INTBREW,9.02,9.35,9.0,9.35,3776658.0,76.57657657657657,6.637648161887671,5.499173830204279,1.0133047271322129,0.9120428958040137,0.10126183132819921,7.661,10.598165837656216,4.723834162343783,76.67839283791193,0.7875220694633605,0.3594,International Breweries Plc,389.50B,34.9363977657415,46.84684684684686,67.97,35.11625293692481,SELL 🔴
2025-05-15 10:00:00,NSENG:INTBREW,9.4,9.6,9.3,9.35,4426962.0,73.73737373737373,6.744014900637174,5.537490508510705,1.002613939132683,0.9301571044697475,0.0724568346629354,7.865,10.666559715962748,5.063440284037252,71.24118794565156,0.7650309382196558,0.3594,International Breweries Plc,389.50B,30.620325240449446,52.52525252525254,67.97,34.66173837780049,SELL 🔴
2025-05-16 10:00:00,NSENG:INTBREW,9.35,9.4,9.3,9.4,2501444.0,69.76744186046511,6.848171179043559,5.57592343877428,0.9868007697412269,0.9414858375240435,0.04531493221718341,8.059999999999999,10.707103680390484,5.412896319609514,65.68495484839913,0.7531068219818147,0.3594,International Breweries Plc,389.50B,38.043189201930616,60.465116279069775,67.97,55.75512948468624,HOLD 🟡
2025-05-19 10:00:00,NSENG:INTBREW,9.6,9.7,9.6,9.6,2381606.0,65.14745308310992,6.956086034767342,5.6159640015725465,0.9791203575998724,0.9490127415392093,0.030107616060663034,8.265,10.70421902946091,5.825780970539091,59.02526387080241,0.773653161908762,0.3594,International Breweries Plc,389.50B,40.46867246313835,69.70509383378015,67.97,59.73986438170322,HOLD 🟡
2025-05-20 10:00:00,NSENG:INTBREW,9.8,9.8,9.7,9.8,3295691.0,71.85792349726779,7.067612072619603,5.6575962005618745,0.9778992898811492,0.9547900512075973,0.023109238673551857,8.48,10.634456824939022,6.325543175060979,50.81266096554297,0.8063417156288014,0.3594,International Breweries Plc,389.50B,42.14412661594737,56.28415300546442,67.97,41.55130920961302,SELL 🔴
2025-05-21 10:00:00,NSENG:INTBREW,9.56,9.56,9.5,9.5,2733305.0,83.7579617834395,7.162999834477659,5.695829074188125,0.9418668375102843,0.9522054084681347,-0.010338570957850401,8.6525,10.521266832348067,6.783733167651933,43.19599728051007,0.7267538104085286,0.3594,International Breweries Plc,389.50B,37.30228327932361,32.484076433121004,67.97,31.990364569598107,SELL 🔴
2025-05-22 10:00:00,NSENG:INTBREW,9.43,9.43,9.3,9.3,1711442.0,73.89705882352943,7.2468037625373585,5.731691471459885,0.8869483424902587,0.9391539952725596,-0.05220565278230094,8.797500000000001,10.354377779741446,7.240622220258556,35.39364091483818,0.6613806833582824,0.3594,International Breweries Plc,389.50B,40.15101447614258,52.20588235294113,67.97,39.33127194395363,SELL 🔴
2025-05-23 10:00:00,NSENG:INTBREW,9.35,9.35,9.3,9.3,1076073.0,66.50943396226418,7.327321262045698,5.7671970289577965,0.8338133581584408,0.9180858678497359,-0.08427250969129507,8.9125,10.232019450007233,7.592980549992767,29.610534642518555,0.6468337583041602,0.3594,International Breweries Plc,389.50B,38.8394901858057,66.98113207547163,67.97,58.108084715544344,HOLD 🟡
