Date,open,high,low,close,volume,RSI,EMA_50,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,sentiment_score,tomorrow_close,target
1981-02-24 00:00:00-05:00,0.0821340850265732,0.0821340850265732,0.0812785774469375,0.0812785774469375,16979200,30.303141734236704,0.1016322098672389,-0.0054286778417912,-0.0010379648111955,-0.0043907130305957,0.28948837521216597,0.0864116325974464,1
1981-02-25 00:00:00-05:00,0.0864116325974464,0.0868393835793985,0.0864116325974464,0.0864116325974464,19488000,38.52354922088979,0.1010353244841098,-0.0052244232740805,-0.0006669681947878,-0.0045574550792926,0.15984086426810773,0.0876948833465576,1
1981-02-26 00:00:00-05:00,0.0876948833465576,0.0881226400014298,0.0876948833465576,0.0876948833465576,10841600,40.41560087113958,0.100512169929696,-0.0049024895983202,-0.000276027615222,-0.0046264619830981,0.2674212980260853,0.0906899198889732,1
1981-02-27 00:00:00-05:00,0.0906899198889732,0.0915454274094225,0.0906899198889732,0.0906899198889732,14761600,44.69391254807529,0.1001269836535892,-0.0043554732381635,0.0002167909959477,-0.0045722642341112,0.47115162150091916,0.0911176651716232,1
1981-03-02 00:00:00-05:00,0.0911176651716232,0.0915454160228968,0.0911176651716232,0.0911176651716232,11760000,45.298015178750035,0.0997736770464533,-0.0038431420133488,0.0005832977766099,-0.0044264397899587,0.2785004188438688,0.0898344293236732,0
1981-03-03 00:00:00-05:00,0.0902621860203786,0.0902621860203786,0.0898344293236732,0.0898344293236732,16172800,43.75396591318895,0.0993839026259521,-0.0035003128078365,0.0007409015856977,-0.0042412143935343,0.4253329006632056,0.0889781415462493,0
1981-03-04 00:00:00-05:00,0.0894058924605262,0.0894058924605262,0.0889781415462493,0.0889781415462493,13708800,42.707831601023855,0.098975833564003,-0.0032601326796902,0.0007848653710753,-0.0040449980507655,0.8530789240512435,0.0885503813624382,0
1981-03-05 00:00:00-05:00,0.0889781379710212,0.0889781379710212,0.0885503813624382,0.0885503813624382,5376000,42.16546589389853,0.0985669923011965,-0.0030689281759514,0.0007808558998512,-0.0038497840758027,0.6630395244299412,0.0876948833465576,0
1981-03-06 00:00:00-05:00,0.0885503909448077,0.0885503909448077,0.0876948833465576,0.0876948833465576,11603200,41.04286419959404,0.0981406350872891,-0.0029523953930816,0.0007179109461768,-0.0036703063392585,0.5442149340221349,0.0808508247137069,0
1981-03-09 00:00:00-05:00,0.081278575638259,0.081278575638259,0.0808508247137069,0.0808508247137069,15321600,33.38511605778693,0.097462603307933,-0.0033734140394016,0.0002375138398855,-0.0036109278792871,0.9987126293644512,0.0770002827048301,0
1981-03-10 00:00:00-05:00,0.0774280336860994,0.0774280336860994,0.0770002827048301,0.0770002827048301,28380800,29.99436491683943,0.0966601593627132,-0.0039719942326464,-0.0002888530826874,-0.0036831411499589,0.8239117907372546,0.0740059837698936,0
1981-03-11 00:00:00-05:00,0.0748614912217433,0.0748614912217433,0.0740059837698936,0.0740059837698936,29859200,27.643168952047667,0.0957717603198576,-0.004634563880481,-0.0007611381844176,-0.0038734256960633,0.19185797425794937,0.0770002827048301,1
1981-03-12 00:00:00-05:00,0.0770002827048301,0.0774280336860994,0.0770002827048301,0.0770002827048301,59248000,33.27587069493013,0.0950356239427977,-0.0048619941581288,-0.0007908547696523,-0.0040711393884764,0.5864635877603939,0.0761447474360466,0
1981-03-13 00:00:00-05:00,0.0765724982622995,0.0765724982622995,0.0761447474360466,0.0761447474360466,231302400,32.497450746832214,0.0942948052562584,-0.0050530207599709,-0.0007855050971955,-0.0042675156627753,0.39889066297995046,0.0791397988796234,1
1981-03-16 00:00:00-05:00,0.0791397988796234,0.0799953063244144,0.0791397988796234,0.0791397988796234,37228800,37.968236515961486,0.0937004912807041,-0.0049061797116704,-0.000510931239116,-0.0043952484725544,0.10116779196317138,0.0829895734786987,1
1981-03-17 00:00:00-05:00,0.0829895734786987,0.0838450808611563,0.0829895734786987,0.0829895734786987,43747200,44.225454357531,0.0932804552884686,-0.0044281178999798,-2.6295541940335457e-05,-0.0044018223580394,0.7621072997520153,0.0881226360797882,1
1981-03-18 00:00:00-05:00,0.0881226360797882,0.0889781436399664,0.0881226360797882,0.0881226360797882,36937600,51.28186353668511,0.0930781878685203,-0.0035936300861753,0.0006465538174912,-0.0042401839036666,0.82124276134102,0.0872671082615852,0
1981-03-19 00:00:00-05:00,0.08769485908663,0.08769485908663,0.0872671082615852,0.0872671082615852,37811200,50.1431830649711,0.0928503023937386,-0.0029671232763997,0.0010184485018134,-0.0039855717782132,0.6210813795239929,0.0881226360797882,1
1981-03-20 00:00:00-05:00,0.0881226360797882,0.0889781436399664,0.0881226360797882,0.0881226360797882,14604800,51.30753565144615,0.0926649037147601,-0.0023742097587257,0.0012890896155899,-0.0036632993743157,0.8538556888956536,0.0915454179048538,1
1981-03-23 00:00:00-05:00,0.0915454179048538,0.0924009253364813,0.0915454179048538,0.0915454179048538,22019200,55.75910956541994,0.0926210023104501,-0.0016095774296742,0.0016429775557132,-0.0032525549853874,0.8317185614109239,0.0911176651716232,0
1981-03-24 00:00:00-05:00,0.0915454160228968,0.0915454160228968,0.0911176651716232,0.0911176651716232,28156800,55.08138235256355,0.092562047912849,-0.0010262864790263,0.0017810148050889,-0.0028073012841152,0.22124364930424,0.0894059017300605,0
1981-03-25 00:00:00-05:00,0.0902621804105659,0.0902621804105659,0.0894059017300605,0.0894059017300605,7056000,52.3397670418521,0.0924382774743083,-0.0006941475018738,0.0016905230257931,-0.0023846705276669,0.4311119718036174,0.0876948833465576,0
1981-03-26 00:00:00-05:00,0.0881226400014298,0.0881226400014298,0.0876948833465576,0.0876948833465576,12275200,49.678050273176,0.0922522620183181,-0.0005625056386649,0.0014577319112016,-0.0020202375498665,0.012046497966827108,0.084700621664524,0
1981-03-27 00:00:00-05:00,0.0851283726687871,0.0851283726687871,0.084700621664524,0.084700621664524,12252800,45.33327872223748,0.0919561192593458,-0.0006918155878381,0.0010627375696227,-0.0017545531574608,0.12566401363450208,0.084700621664524,0
1981-03-30 00:00:00-05:00,0.084700621664524,0.0855561293845452,0.084700621664524,0.084700621664524,9900800,45.33327872223747,0.0916715899419018,-0.0007852428632549,0.0007754482353647,-0.0015606910986196,0.41536596218771216,0.0838450714945793,0
1981-03-31 00:00:00-05:00,0.0847005787814657,0.0847005787814657,0.0838450714945793,0.0838450714945793,15993600,44.05643755581667,0.0913646676498499,-0.0009177412508476,0.0005143598782176,-0.0014321011290652,0.5663332880370208,0.0829895734786987,0
1981-04-01 00:00:00-05:00,0.0834173300256739,0.0834173300256739,0.0829895734786987,0.0829895734786987,34070400,42.75952461969472,0.0910362325843146,-0.0010793367950906,0.0002822114671797,-0.0013615482622703,0.016894919753874804,0.090262159705162,1
1981-04-02 00:00:00-05:00,0.090262159705162,0.0906899105656652,0.090262159705162,0.090262159705162,31404800,54.91094695809298,0.0910058767851321,-0.0006134935276987,0.0005984437876572,-0.001211937315356,0.4340203944693726,0.0906899198889732,1
1981-04-03 00:00:00-05:00,0.0906899198889732,0.0911176765049448,0.0906899198889732,0.0906899198889732,16486400,55.50920726539697,0.0909934863186161,-0.0002074019100627,0.0008036283242346,-0.0010110302342973,0.435856169962751,0.0889781415462493,0
