Date,open,high,low,close,volume,RSI,EMA_50,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
1981-02-24 00:00:00-05:00,0.0821340850265732,0.0821340850265732,0.0812785774469375,0.0812785774469375,16979200,30.303141734236704,0.10163220986723896,-0.005428677841791227,-0.0010379648111955115,-0.004390713030595715
1981-02-25 00:00:00-05:00,0.0864116325974464,0.0868393835793985,0.0864116325974464,0.0864116325974464,19488000,38.52354922088979,0.10103532448410985,-0.005224423274080556,-0.000666968194787872,-0.004557455079292684
1981-02-26 00:00:00-05:00,0.0876948833465576,0.0881226400014298,0.0876948833465576,0.0876948833465576,10841600,40.41560087113958,0.10051216992969604,-0.0049024895983202504,-0.00027602761522205286,-0.004626461983098198
1981-02-27 00:00:00-05:00,0.0906899198889732,0.0915454274094225,0.0906899198889732,0.0906899198889732,14761600,44.69391254807529,0.10012698365358927,-0.004355473238163557,0.00021679099594771288,-0.00457226423411127
1981-03-02 00:00:00-05:00,0.0911176651716232,0.0915454160228968,0.0911176651716232,0.0911176651716232,11760000,45.298015178750035,0.09977367704645335,-0.0038431420133488853,0.0005832977766099083,-0.004426439789958794
1981-03-03 00:00:00-05:00,0.0902621860203786,0.0902621860203786,0.0898344293236732,0.0898344293236732,16172800,43.75396591318895,0.09938390262595216,-0.003500312807836553,0.0007409015856977928,-0.004241214393534346
1981-03-04 00:00:00-05:00,0.0894058924605262,0.0894058924605262,0.0889781415462493,0.0889781415462493,13708800,42.707831601023855,0.09897583356400304,-0.003260132679690206,0.000784865371075312,-0.004044998050765518
1981-03-05 00:00:00-05:00,0.0889781379710212,0.0889781379710212,0.0885503813624382,0.0885503813624382,5376000,42.16546589389853,0.09856699230119657,-0.003068928175951474,0.0007808558998512352,-0.0038497840758027094
1981-03-06 00:00:00-05:00,0.0885503909448077,0.0885503909448077,0.0876948833465576,0.0876948833465576,11603200,41.04286419959404,0.09814063508728917,-0.002952395393081675,0.0007179109461768278,-0.0036703063392585027
1981-03-09 00:00:00-05:00,0.081278575638259,0.081278575638259,0.0808508247137069,0.0808508247137069,15321600,33.38511605778693,0.09746260330793301,-0.003373414039401612,0.00023751383988551266,-0.0036109278792871248
1981-03-10 00:00:00-05:00,0.0774280336860994,0.0774280336860994,0.0770002827048301,0.0770002827048301,28380800,29.99436491683943,0.09666015936271329,-0.0039719942326464225,-0.000288853082687438,-0.0036831411499589845
1981-03-11 00:00:00-05:00,0.0748614912217433,0.0748614912217433,0.0740059837698936,0.0740059837698936,29859200,27.643168952047667,0.09577176031985761,-0.004634563880481057,-0.000761138184417658,-0.0038734256960633994
1981-03-12 00:00:00-05:00,0.0770002827048301,0.0774280336860994,0.0770002827048301,0.0770002827048301,59248000,33.27587069493013,0.09503562394279771,-0.004861994158128866,-0.0007908547696523728,-0.004071139388476493
1981-03-13 00:00:00-05:00,0.0765724982622995,0.0765724982622995,0.0761447474360466,0.0761447474360466,231302400,32.497450746832214,0.09429480525625845,-0.005053020759970939,-0.000785505097195556,-0.004267515662775383
1981-03-16 00:00:00-05:00,0.0791397988796234,0.0799953063244144,0.0791397988796234,0.0791397988796234,37228800,37.968236515961486,0.09370049128070414,-0.004906179711670483,-0.0005109312391160803,-0.004395248472554403
1981-03-17 00:00:00-05:00,0.0829895734786987,0.0838450808611563,0.0829895734786987,0.0829895734786987,43747200,44.225454357531,0.09328045528846864,-0.004428117899979822,-2.6295541940335454e-05,-0.004401822358039487
1981-03-18 00:00:00-05:00,0.0881226360797882,0.0889781436399664,0.0881226360797882,0.0881226360797882,36937600,51.28186353668511,0.09307818786852039,-0.0035936300861753867,0.0006465538174912798,-0.0042401839036666665
1981-03-19 00:00:00-05:00,0.08769485908663,0.08769485908663,0.0872671082615852,0.0872671082615852,37811200,50.1431830649711,0.09285030239373862,-0.002967123276399794,0.0010184485018134978,-0.003985571778213292
1981-03-20 00:00:00-05:00,0.0881226360797882,0.0889781436399664,0.0881226360797882,0.0881226360797882,14604800,51.30753565144615,0.09266490371476017,-0.0023742097587257927,0.0012890896155899993,-0.003663299374315792
1981-03-23 00:00:00-05:00,0.0915454179048538,0.0924009253364813,0.0915454179048538,0.0915454179048538,22019200,55.75910956541994,0.09262100231045012,-0.0016095774296742554,0.0016429775557132292,-0.0032525549853874847
1981-03-24 00:00:00-05:00,0.0915454160228968,0.0915454160228968,0.0911176651716232,0.0911176651716232,28156800,55.08138235256355,0.09256204791284907,-0.0010262864790263476,0.0017810148050889096,-0.0028073012841152573
1981-03-25 00:00:00-05:00,0.0902621804105659,0.0902621804105659,0.0894059017300605,0.0894059017300605,7056000,52.3397670418521,0.09243827747430834,-0.000694147501873868,0.0016905230257931118,-0.0023846705276669797
1981-03-26 00:00:00-05:00,0.0881226400014298,0.0881226400014298,0.0876948833465576,0.0876948833465576,12275200,49.678050273176,0.09225226201831813,-0.0005625056386649036,0.0014577319112016609,-0.0020202375498665644
1981-03-27 00:00:00-05:00,0.0851283726687871,0.0851283726687871,0.084700621664524,0.084700621664524,12252800,45.33327872223748,0.09195611925934581,-0.0006918155878381654,0.0010627375696227192,-0.0017545531574608847
1981-03-30 00:00:00-05:00,0.084700621664524,0.0855561293845452,0.084700621664524,0.084700621664524,9900800,45.33327872223747,0.09167158994190182,-0.0007852428632549591,0.0007754482353647405,-0.0015606910986196995
1981-03-31 00:00:00-05:00,0.0847005787814657,0.0847005787814657,0.0838450714945793,0.0838450714945793,15993600,44.05643755581667,0.09136466764984996,-0.0009177412508476895,0.000514359878217608,-0.0014321011290652976
1981-04-01 00:00:00-05:00,0.0834173300256739,0.0834173300256739,0.0829895734786987,0.0829895734786987,34070400,42.759524619694716,0.09103623258431462,-0.0010793367950906185,0.00028221146717974334,-0.0013615482622703619
1981-04-02 00:00:00-05:00,0.090262159705162,0.0906899105656652,0.090262159705162,0.090262159705162,31404800,54.91094695809298,0.09100587678513217,-0.0006134935276987941,0.0005984437876572542,-0.0012119373153560483
1981-04-03 00:00:00-05:00,0.0906899198889732,0.0911176765049448,0.0906899198889732,0.0906899198889732,16486400,55.50920726539697,0.09099348631861613,-0.00020740191006272946,0.0008036283242346552,-0.0010110302342973847
1981-04-06 00:00:00-05:00,0.0894058924605262,0.0894058924605262,0.0889781415462493,0.0889781415462493,22803200,52.50682042022568,0.09091445319028803,-2.342752574961693e-05,0.0007900821668382143,-0.0008135096925878312
1981-04-07 00:00:00-05:00,0.0885503870041303,0.0885503870041303,0.0881226360797882,0.0881226360797882,10684800,51.02151781645968,0.09080497016634687,5.273347917400528e-05,0.0006929945374094692,-0.0006402610582354639
1981-04-08 00:00:00-05:00,0.0924009382724762,0.0932564458238735,0.0924009382724762,0.0924009382724762,21952000,57.49674182029868,0.09086755715090096,0.0004530918946513973,0.0008746823623094889,-0.0004215904676580917
1981-04-09 00:00:00-05:00,0.0941119119524955,0.0945396683956668,0.0941119119524955,0.0941119119524955,12499200,59.7864415584295,0.0909947867509635,0.0008980875063842042,0.0010557423792338367,-0.0001576548728496325
1981-04-10 00:00:00-05:00,0.0953952074050903,0.0958229582795159,0.0953952074050903,0.0953952074050903,33465600,61.4633090350711,0.09116735226681161,0.0013388673236880283,0.0011972177572301286,0.00014164956645789967
1981-04-13 00:00:00-05:00,0.0953952074050903,0.0958229582795159,0.0953952074050903,0.0953952074050903,16060800,61.463309035071106,0.09133315050752842,0.0016689498891119536,0.0012218402581232431,0.0004471096309887105
1981-04-14 00:00:00-05:00,0.0953952074050903,0.0958229582795159,0.0953952074050903,0.0953952074050903,6652800,61.463309035071106,0.09149244685645243,0.0019085422137134628,0.001169146066179802,0.000739396147533661
1981-04-15 00:00:00-05:00,0.0911176765049448,0.0911176765049448,0.0906899198889732,0.0906899198889732,34048000,51.60825571607029,0.09146097521066893,0.001699156658041906,0.0007678084084065959,0.0009313482496353101
1981-04-16 00:00:00-05:00,0.0859838706361503,0.0859838706361503,0.0855561196804046,0.0855561196804046,23878400,43.426676899970815,0.09122941224869778,0.0011062106173531094,0.00013988989417423946,0.00096632072317887
1981-04-20 00:00:00-05:00,0.0881226360797882,0.0885503870041303,0.0881226360797882,0.0881226360797882,35347200,47.87554215469465,0.09110757788913271,0.0008337817157118427,-0.00010603120597362187,0.0009398129216854645
1981-04-21 00:00:00-05:00,0.0941119119524955,0.0945396683956668,0.0941119119524955,0.0941119119524955,28537600,56.476988056045094,0.09122539491122537,0.0010886154753175642,0.00011904204290567964,0.0009695734324118846
1981-04-22 00:00:00-05:00,0.0975339636206626,0.0979617201645685,0.0975339636206626,0.0975339636206626,18995200,60.488854446510025,0.09147278976257586,0.0015488498590753297,0.000463421141330756,0.0010854287177445737
1981-04-23 00:00:00-05:00,0.1001004949212074,0.1005282515287127,0.1001004949212074,0.1001004949212074,58016000,63.22667573417493,0.09181113114134573,0.002096519182472306,0.000808872371782186,0.0012876468106901202
1981-04-24 00:00:00-05:00,0.1001004761854847,0.1001004761854847,0.099244974553585,0.099244974553585,35056000,61.69211664037539,0.09210265441241394,0.0024334662391983924,0.0009166555428066177,0.0015168106963917747
1981-04-27 00:00:00-04:00,0.0988172555794481,0.0988172555794481,0.0983894988894462,0.0983894988894462,38528000,60.12077778850258,0.09234919733308188,0.0026014812165402607,0.0008677364161187888,0.001733744800421472
1981-04-28 00:00:00-04:00,0.0971062222153741,0.0971062222153741,0.0966784656047821,0.0966784656047821,32188800,56.99394690461358,0.09251897255942307,0.002566977689281727,0.0006665863110882039,0.0019003913781935231
1981-04-29 00:00:00-04:00,0.0958229582795159,0.0958229582795159,0.0953952074050903,0.0953952074050903,13641600,54.69632672491027,0.09263176608278258,0.002408323528755807,0.00040634572044982676,0.00200197780830598
1981-04-30 00:00:00-04:00,0.0971062183380127,0.0979617315250369,0.0971062183380127,0.0971062183380127,12611200,57.17527522250009,0.09280723479867396,0.002393067454289091,0.0003128717167864888,0.0020801957375026024
1981-05-01 00:00:00-04:00,0.0971062183380127,0.0979617315250369,0.0971062183380127,0.0971062183380127,16553600,57.1752752225001,0.09297582238845195,0.0023538432654130054,0.00021891802232832215,0.002134925243084683
1981-05-04 00:00:00-04:00,0.0971062222153741,0.0971062222153741,0.0966784656047821,0.0966784656047821,14448000,56.28234879624372,0.09312102408321,0.002262164913467035,0.00010179173630588166,0.0021603731771611535
1981-05-05 00:00:00-04:00,0.0966784655093143,0.0966784655093143,0.0962507203221321,0.0962507203221321,17539200,55.35142667523432,0.09324375726905008,0.002130435356905186,-2.395025620477399e-05,0.00215438561310996
1981-05-06 00:00:00-04:00,0.0941119473648012,0.0941119473648012,0.0936841964721679,0.0936841964721679,18950400,50.00682684368057,0.09326102939466255,0.0017982130284689285,-0.00028493806771282514,0.0020831510961817536
1981-05-07 00:00:00-04:00,0.0949674472212791,0.0953952037909923,0.0949674472212791,0.0949674472212791,9363200,52.47761498576434,0.09332794774080437,0.0016198000043699812,-0.00037068087344941823,0.0019904808778193994
1981-05-08 00:00:00-04:00,0.0958229824900627,0.0962507391840583,0.0958229824900627,0.0958229824900627,7907200,54.106125633106565,0.09342579224077528,0.0015298062889319425,-0.00036853967110996575,0.0018983459600419082
1981-05-11 00:00:00-04:00,0.0941119473648012,0.0941119473648012,0.0936841964721679,0.0936841964721679,11939200,49.53600701928023,0.09343592574004558,0.0012712492934839614,-0.0005016773332463574,0.0017729266267303189
