Date,open,high,low,close,volume
1980-12-12 00:00:00-05:00,0.09838949888944626,0.09881725557944816,0.09838949888944626,0.09838949888944626,469033600
1980-12-15 00:00:00-05:00,0.09368421533033078,0.09368421533033078,0.09325645864009857,0.09325645864009857,175884800
1980-12-16 00:00:00-05:00,0.08683938357939854,0.08683938357939854,0.08641163259744644,0.08641163259744644,105728000
1980-12-17 00:00:00-05:00,0.0885503813624382,0.08897813797102129,0.0885503813624382,0.0885503813624382,86441600
1980-12-18 00:00:00-05:00,0.09111766517162323,0.09154541602289686,0.09111766517162323,0.09111766517162323,73449600
1980-12-19 00:00:00-05:00,0.0966784656047821,0.09710622221537414,0.0966784656047821,0.0966784656047821,48630400
1980-12-22 00:00:00-05:00,0.1013837531208992,0.10181227501943076,0.1013837531208992,0.1013837531208992,37363200
1980-12-23 00:00:00-05:00,0.105662040412426,0.10608979693298276,0.105662040412426,0.105662040412426,46950400
1980-12-24 00:00:00-05:00,0.11122285574674606,0.11165061232436137,0.11122285574674606,0.11122285574674606,48003200
1980-12-26 00:00:00-05:00,0.12148977816104889,0.12191753497720483,0.12148977816104889,0.12148977816104889,55574400
1980-12-29 00:00:00-05:00,0.12320073693990707,0.12362849355793937,0.12320073693990707,0.12320073693990707,93161600
1980-12-30 00:00:00-05:00,0.1206342204949012,0.1206342204949012,0.12020647525787352,0.12020647525787354,68880000
1980-12-31 00:00:00-05:00,0.11721221756129964,0.11721221756129964,0.1167844608426094,0.1167844608426094,35750400
1981-01-02 00:00:00-05:00,0.11806768923997879,0.11892320245754805,0.11806768923997879,0.11806768923997879,21660800
1981-01-05 00:00:00-05:00,0.11592888063703626,0.11592888063703626,0.11550113558769225,0.11550113558769226,35728000
1981-01-06 00:00:00-05:00,0.11079506201095671,0.11079506201095671,0.1103673055768013,0.1103673055768013,45158400
1981-01-07 00:00:00-05:00,0.10608979693298276,0.10608979693298276,0.105662040412426,0.105662040412426,55686400
1981-01-08 00:00:00-05:00,0.10395105923451915,0.10395105923451915,0.10352331399917603,0.10352331399917603,39827200
1981-01-09 00:00:00-05:00,0.10908405482769012,0.1095118112898062,0.10908405482769012,0.10908405482769012,21504000
1981-01-12 00:00:00-05:00,0.10908411841640318,0.10908411841640318,0.10822861641645432,0.10822861641645432,23699200
1981-01-13 00:00:00-05:00,0.10480654621415493,0.10480654621415493,0.10437878966331482,0.10437878966331482,23049600
1981-01-14 00:00:00-05:00,0.10480652749538422,0.1052342839698257,0.10480652749538422,0.10480652749538422,14291200
1981-01-15 00:00:00-05:00,0.10694533586502075,0.10780083769026193,0.10694533586502075,0.10694533586502075,14067200
1981-01-16 00:00:00-05:00,0.1065175646121858,0.1065175646121858,0.10608980804681778,0.10608980804681778,13395200
1981-01-19 00:00:00-05:00,0.11250618100166321,0.11293393783380858,0.11250618100166321,0.11250618100166321,41574400
1981-01-20 00:00:00-05:00,0.1095118112898062,0.1095118112898062,0.10908405482769012,0.10908405482769012,30083200
1981-01-21 00:00:00-05:00,0.11122285574674606,0.11207835747899011,0.11122285574674606,0.11122285574674606,15904000
1981-01-22 00:00:00-05:00,0.11250618100166321,0.11336169466595394,0.11250618100166321,0.11250618100166321,35548800
1981-01-23 00:00:00-05:00,0.11250607293097627,0.11293382935222888,0.11207831650972366,0.11207831650972366,11222400
1981-01-26 00:00:00-05:00,0.11079506201095671,0.11079506201095671,0.1103673055768013,0.1103673055768013,24640000
